都道府県,観光地数・イベント数,1,2,3,4
01 北海道,自然,109,108,108,110
01 北海道,歴史・文化,147,148,147,149
01 北海道,温泉・健康,140,142,142,145
01 北海道,スポーツ・レク,257,260,259,263
01 北海道,都市型観光,76,77,79,77
01 北海道,その他,109,108,107,112
01 北海道,イベント,42,56,175,35
02 青森県,自然,39,42,42,42
02 青森県,歴史・文化,55,58,61,61
02 青森県,温泉・健康,43,45,46,46
02 青森県,スポーツ・レク,67,70,71,71
02 青森県,都市型観光,46,51,52,52
02 青森県,その他,24,26,26,26
02 青森県,イベント,11,29,71,22
03 岩手県,自然,37,37,37,37
03 岩手県,歴史・文化,62,62,62,62
03 岩手県,温泉・健康,76,76,76,76
03 岩手県,スポーツ・レク,55,55,55,55
03 岩手県,都市型観光,27,27,27,27
03 岩手県,その他,23,23,23,23
03 岩手県,イベント,12,31,59,35
04 宮城県,自然,36,36,36,36
04 宮城県,歴史・文化,80,80,80,80
04 宮城県,温泉・健康,36,36,36,36
04 宮城県,スポーツ・レク,65,65,65,65
04 宮城県,都市型観光,53,53,53,53
04 宮城県,その他,31,31,31,31
04 宮城県,イベント,20,37,61,43
05 秋田県,自然,30,30,30,30
05 秋田県,歴史・文化,52,52,52,52
05 秋田県,温泉・健康,63,63,63,63
05 秋田県,スポーツ・レク,68,68,68,68
05 秋田県,都市型観光,20,20,20,20
05 秋田県,その他,30,30,30,30
05 秋田県,イベント,18,38,63,25
06 山形県,自然,38,39,39,39
06 山形県,歴史・文化,74,76,76,76
06 山形県,温泉・健康,47,47,47,47
06 山形県,スポーツ・レク,64,69,69,69
06 山形県,都市型観光,28,31,31,31
06 山形県,その他,31,34,34,34
06 山形県,イベント,15,31,45,16
07 福島県,自然,46,46,46,46
07 福島県,歴史・文化,77,77,77,77
07 福島県,温泉・健康,46,46,46,46
07 福島県,スポーツ・レク,60,60,60,60
07 福島県,都市型観光,14,14,14,14
07 福島県,その他,24,24,24,24
07 福島県,イベント,11,50,22,22
08 茨城県,自然,16,16,16,16
08 茨城県,歴史・文化,50,50,50,50
08 茨城県,温泉・健康,17,17,17,17
08 茨城県,スポーツ・レク,59,59,59,59
08 茨城県,都市型観光,12,12,12,12
08 茨城県,その他,22,22,22,22
08 茨城県,イベント,29,35,63,58
09 栃木県,自然,35,35,35,35
09 栃木県,歴史・文化,88,88,91,91
09 栃木県,温泉・健康,26,26,28,28
09 栃木県,スポーツ・レク,119,119,117,117
09 栃木県,都市型観光,18,18,20,20
09 栃木県,その他,29,29,35,35
09 栃木県,イベント,14,27,41,38
10 群馬県,自然,55,56,55,55
10 群馬県,歴史・文化,97,96,96,96
10 群馬県,温泉・健康,81,80,81,81
10 群馬県,スポーツ・レク,120,120,119,119
10 群馬県,都市型観光,27,25,27,27
10 群馬県,その他,21,21,21,21
10 群馬県,イベント,31,38,66,53
11 埼玉県,自然,47,47,47,47
11 埼玉県,歴史・文化,124,124,124,124
11 埼玉県,温泉・健康,30,30,30,30
11 埼玉県,スポーツ・レク,180,180,180,180
11 埼玉県,都市型観光,55,55,55,55
11 埼玉県,その他,24,24,24,24
11 埼玉県,イベント,80,130,129,206
12 千葉県,自然,33,33,33,33
12 千葉県,歴史・文化,136,136,136,136
12 千葉県,温泉・健康,26,26,26,26
12 千葉県,スポーツ・レク,298,298,298,298
12 千葉県,都市型観光,24,24,24,24
12 千葉県,その他,32,32,32,32
12 千葉県,イベント,57,67,90,83
13 東京都,自然,9,9,9,9
13 東京都,歴史・文化,301,301,301,301
13 東京都,温泉・健康,36,36,36,36
13 東京都,スポーツ・レク,176,176,176,176
13 東京都,都市型観光,93,93,93,93
13 東京都,その他,25,25,25,25
13 東京都,イベント,88,94,131,130
14 神奈川県,自然,41,41,41,41
14 神奈川県,歴史・文化,137,137,137,137
14 神奈川県,温泉・健康,10,10,10,10
14 神奈川県,スポーツ・レク,100,100,100,100
14 神奈川県,都市型観光,6,6,6,6
14 神奈川県,その他,40,40,40,40
14 神奈川県,イベント,44,74,76,67
15 新潟県,自然,71,71,71,71
15 新潟県,歴史・文化,165,165,165,165
15 新潟県,温泉・健康,112,112,112,112
15 新潟県,スポーツ・レク,241,241,241,241
15 新潟県,都市型観光,62,62,62,62
15 新潟県,その他,31,31,31,31
15 新潟県,イベント,70,109,139,87
16 富山県,自然,35,35,35,35
16 富山県,歴史・文化,89,90,90,90
16 富山県,温泉・健康,21,21,21,21
16 富山県,スポーツ・レク,48,49,49,49
16 富山県,都市型観光,6,6,6,6
16 富山県,その他,23,23,23,23
16 富山県,イベント,22,41,51,25
18 福井県,自然,26,26,26,26
18 福井県,歴史・文化,84,84,84,84
18 福井県,温泉・健康,23,23,23,23
18 福井県,スポーツ・レク,58,58,58,58
18 福井県,都市型観光,17,17,17,17
18 福井県,その他,12,12,12,12
18 福井県,イベント,7,18,22,15
19 山梨県,自然,20,20,20,20
19 山梨県,歴史・文化,86,86,86,86
19 山梨県,温泉・健康,60,60,60,60
19 山梨県,スポーツ・レク,87,87,87,87
19 山梨県,都市型観光,31,31,31,31
19 山梨県,その他,20,20,20,20
19 山梨県,イベント,11,29,31,24
20 長野県,自然,64,64,64,64
20 長野県,歴史・文化,75,75,75,75
20 長野県,温泉・健康,81,81,81,81
20 長野県,スポーツ・レク,94,94,94,94
20 長野県,都市型観光,17,17,17,17
20 長野県,その他,26,26,26,26
20 長野県,イベント,16,30,57,31
21 岐阜県,自然,38,38,38,38
21 岐阜県,歴史・文化,97,97,97,97
21 岐阜県,温泉・健康,55,55,55,55
21 岐阜県,スポーツ・レク,154,154,154,154
21 岐阜県,都市型観光,27,27,27,27
21 岐阜県,その他,55,55,55,55
21 岐阜県,イベント,25,58,64,74
22 静岡県,自然,52,52,52,52
22 静岡県,歴史・文化,185,185,185,185
22 静岡県,温泉・健康,48,48,48,48
22 静岡県,スポーツ・レク,239,239,239,239
22 静岡県,都市型観光,43,43,43,43
22 静岡県,その他,24,24,24,24
22 静岡県,イベント,78,108,143,119
23 愛知県,自然,37,37,37,37
23 愛知県,歴史・文化,134,134,134,134
23 愛知県,温泉・健康,20,20,20,20
23 愛知県,スポーツ・レク,119,119,119,119
23 愛知県,都市型観光,42,42,42,42
23 愛知県,その他,11,11,11,11
23 愛知県,イベント,38,70,69,70
24 三重県,自然,35,35,36,36
24 三重県,歴史・文化,69,69,71,71
24 三重県,温泉・健康,28,28,29,29
24 三重県,スポーツ・レク,129,129,130,130
24 三重県,都市型観光,23,23,24,24
24 三重県,その他,27,27,29,29
24 三重県,イベント,8,20,35,23
25 滋賀県,自然,21,21,21,21
25 滋賀県,歴史・文化,111,111,111,111
25 滋賀県,温泉・健康,21,21,21,21
25 滋賀県,スポーツ・レク,114,114,114,114
25 滋賀県,都市型観光,28,28,28,28
25 滋賀県,その他,59,59,59,59
25 滋賀県,イベント,9,28,34,25
26 京都府,自然,14,14,14,14
26 京都府,歴史・文化,76,76,76,76
26 京都府,温泉・健康,19,19,19,19
26 京都府,スポーツ・レク,77,77,77,77
26 京都府,都市型観光,8,8,8,8
26 京都府,その他,19,19,19,19
26 京都府,イベント,5,8,15,17
28 兵庫県,自然,77,79,79,79
28 兵庫県,歴史・文化,291,294,294,292
28 兵庫県,温泉・健康,73,74,74,74
28 兵庫県,スポーツ・レク,352,362,362,352
28 兵庫県,都市型観光,43,44,44,44
28 兵庫県,その他,95,99,99,98
28 兵庫県,イベント,45,70,77,117
29 奈良県,自然,25,25,25,25
29 奈良県,歴史・文化,94,94,94,94
29 奈良県,温泉・健康,27,27,27,27
29 奈良県,スポーツ・レク,22,22,22,22
29 奈良県,都市型観光,5,5,5,5
29 奈良県,その他,32,32,32,32
29 奈良県,イベント,15,14,21,20
30 和歌山県,自然,19,19,20,20
30 和歌山県,歴史・文化,39,40,40,41
30 和歌山県,温泉・健康,12,12,12,12
30 和歌山県,スポーツ・レク,31,32,32,33
30 和歌山県,都市型観光,6,6,6,6
30 和歌山県,その他,13,10,10,10
30 和歌山県,イベント,8,7,17,17
31 鳥取県,自然,10,10,10,10
31 鳥取県,歴史・文化,36,36,36,36
31 鳥取県,温泉・健康,19,19,19,19
31 鳥取県,スポーツ・レク,27,27,27,27
31 鳥取県,都市型観光,17,17,17,17
31 鳥取県,その他,22,22,22,22
31 鳥取県,イベント,5,9,18,5
32 島根県,自然,18,18,18,18
32 島根県,歴史・文化,74,74,74,75
32 島根県,温泉・健康,24,24,24,24
32 島根県,スポーツ・レク,37,37,37,38
32 島根県,都市型観光,10,10,10,10
32 島根県,その他,19,19,19,20
32 島根県,イベント,5,9,13,12
33 岡山県,自然,17,17,17,17
33 岡山県,歴史・文化,107,107,107,107
33 岡山県,温泉・健康,29,29,29,29
33 岡山県,スポーツ・レク,63,63,63,63
33 岡山県,都市型観光,45,45,45,45
33 岡山県,その他,28,28,28,28
33 岡山県,イベント,20,27,40,46
34 広島県,自然,23,23,23,23
34 広島県,歴史・文化,89,89,89,90
34 広島県,温泉・健康,30,30,30,30
34 広島県,スポーツ・レク,94,95,95,95
34 広島県,都市型観光,17,17,18,18
34 広島県,その他,29,28,30,30
34 広島県,イベント,20,27,42,37
35 山口県,自然,34,34,34,34
35 山口県,歴史・文化,77,77,77,77
35 山口県,温泉・健康,32,32,32,32
35 山口県,スポーツ・レク,65,65,65,65
35 山口県,都市型観光,5,5,5,5
35 山口県,その他,42,42,42,42
35 山口県,イベント,15,39,29,38
36 徳島県,自然,16,16,16,16
36 徳島県,歴史・文化,50,50,50,50
36 徳島県,温泉・健康,20,20,20,20
36 徳島県,スポーツ・レク,34,34,34,34
36 徳島県,都市型観光,21,21,21,21
36 徳島県,その他,6,6,6,6
36 徳島県,イベント,11,20,23,17
37 香川県,自然,9,9,9,9
37 香川県,歴史・文化,59,59,59,59
37 香川県,温泉・健康,18,18,18,18
37 香川県,スポーツ・レク,50,50,50,50
37 香川県,都市型観光,12,12,12,12
37 香川県,その他,8,8,8,8
37 香川県,イベント,4,7,19,8
38 愛媛県,自然,44,44,44,44
38 愛媛県,歴史・文化,64,64,64,64
38 愛媛県,温泉・健康,26,26,26,26
38 愛媛県,スポーツ・レク,37,37,37,37
38 愛媛県,都市型観光,29,29,29,29
38 愛媛県,その他,28,28,28,28
38 愛媛県,イベント,7,15,38,21
39 高知県,自然,15,15,15,15
39 高知県,歴史・文化,27,27,27,27
39 高知県,温泉・健康,13,13,13,13
39 高知県,スポーツ・レク,28,28,28,28
39 高知県,都市型観光,23,23,23,23
39 高知県,その他,18,18,18,18
39 高知県,イベント,6,9,22,10
40 福岡県,自然,36,36,36,36
40 福岡県,歴史・文化,135,135,135,135
40 福岡県,温泉・健康,31,31,31,31
40 福岡県,スポーツ・レク,89,89,89,89
40 福岡県,都市型観光,72,72,72,72
40 福岡県,その他,44,44,44,44
40 福岡県,イベント,35,40,45,59
41 佐賀県,自然,10,10,14,14
41 佐賀県,歴史・文化,34,34,33,33
41 佐賀県,温泉・健康,16,16,16,16
41 佐賀県,スポーツ・レク,33,33,40,40
41 佐賀県,都市型観光,27,27,27,27
41 佐賀県,その他,10,10,9,9
41 佐賀県,イベント,12,10,25,26
43 熊本県,自然,24,24,24,24
43 熊本県,歴史・文化,75,75,75,75
43 熊本県,温泉・健康,44,44,44,44
43 熊本県,スポーツ・レク,78,78,78,78
43 熊本県,都市型観光,60,59,59,59
43 熊本県,その他,26,26,26,26
43 熊本県,イベント,43,15,38,48
44 大分県,自然,37,37,37,37
44 大分県,歴史・文化,88,88,88,88
44 大分県,温泉・健康,48,48,48,48
44 大分県,スポーツ・レク,73,73,73,73
44 大分県,都市型観光,16,16,16,16
44 大分県,その他,42,42,42,42
44 大分県,イベント,12,17,35,27
45 宮崎県,自然,18,18,18,18
45 宮崎県,歴史・文化,56,56,56,56
45 宮崎県,温泉・健康,26,26,26,26
45 宮崎県,スポーツ・レク,81,81,81,81
45 宮崎県,都市型観光,10,10,10,10
45 宮崎県,その他,21,21,21,21
45 宮崎県,イベント,13,14,30,32
46 鹿児島県,自然,38,38,38,38
46 鹿児島県,歴史・文化,66,66,66,66
46 鹿児島県,温泉・健康,48,48,48,48
46 鹿児島県,スポーツ・レク,99,99,99,99
46 鹿児島県,都市型観光,41,41,41,41
46 鹿児島県,その他,16,16,16,16
46 鹿児島県,イベント,23,20,40,34
